symbol,exchange,name
AABA,NASDAQ,"Altaba, Inc."
AAPL,NASDAQ,"Apple, Inc."
ADBE,NASDAQ,"Adobe, Inc."
AMZN,NASDAQ,"Amazon.com, Inc."
BAC,New York Stock Exchange,Bank of America Corp.
FB,NASDAQ,"Facebook, Inc."
GOOG,NASDAQ,"Alphabet, Inc."
JPM,New York Stock Exchange,JPMorgan Chase & Co.
MSFT,NASDAQ,Microsoft Corp.
NVDA,NASDAQ,NVIDIA Corp.
SNAP,New York Stock Exchange,"Snap, Inc."
TSLA,NASDAQ,"Tesla, Inc."
